mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59866.624474,1.862,1.57,32.402,8.77,15.807,0.026,o
59867.602839,1.86,1.56,32.42,8.83,15.697,0.044,o
59867.605611,1.86,1.56,32.42,8.83,15.734,0.066,o
59867.608385,1.86,1.56,32.42,8.83,15.725,0.085,o
59867.613513,1.86,1.56,32.42,8.83,15.738,0.032,o
59870.558073,1.856,1.529,32.454,9.0,15.677,0.019,o
59870.560845,1.856,1.529,32.454,9.0,15.671,0.019,o
59870.583995,1.856,1.529,32.454,9.0,15.675,0.019,o
59870.590022,1.856,1.529,32.454,9.0,15.668,0.018,o
59870.60714,1.856,1.529,32.454,9.0,15.692,0.021,o
59870.623811,1.856,1.529,32.454,9.0,15.714,0.022,o
59870.626784,1.856,1.529,32.454,9.0,15.705,0.022,o
59870.629882,1.856,1.529,32.455,9.0,15.707,0.023,o
59872.608926,1.853,1.509,32.459,9.12,15.69,0.019,o
59872.615892,1.853,1.509,32.459,9.12,15.699,0.019,o
59872.627925,1.853,1.508,32.459,9.13,15.713,0.019,o
59875.334463,1.849,1.481,32.441,9.29,15.9,0.021,c
59875.348071,1.849,1.481,32.441,9.29,15.855,0.02,c
59875.355913,1.849,1.481,32.441,9.29,15.829,0.02,c
59875.358217,1.849,1.481,32.441,9.29,15.834,0.021,c
59876.546819,1.848,1.469,32.423,9.37,15.901,0.018,c
59876.549984,1.848,1.469,32.423,9.37,15.906,0.018,c
59876.553146,1.848,1.469,32.423,9.37,15.903,0.019,c
59876.577204,1.848,1.469,32.423,9.37,15.826,0.017,c
59878.550591,1.845,1.449,32.38,9.5,15.539,0.016,o
59878.552911,1.845,1.449,32.38,9.5,15.579,0.016,o
59878.555685,1.845,1.449,32.38,9.5,15.559,0.016,o
59878.579694,1.845,1.449,32.38,9.5,15.585,0.017,o
59879.334836,1.845,1.442,32.359,9.55,15.814,0.02,c
59879.344786,1.845,1.442,32.359,9.55,15.835,0.02,c
59879.354944,1.845,1.441,32.358,9.55,15.84,0.02,c
59879.358097,1.845,1.441,32.358,9.55,15.812,0.021,c
59882.596584,1.841,1.41,32.24,9.76,15.487,0.016,o
59882.599823,1.841,1.41,32.24,9.76,15.484,0.015,o
59882.605364,1.841,1.41,32.24,9.76,15.458,0.015,o
59882.625103,1.841,1.41,32.239,9.76,15.49,0.016,o
59883.314307,1.84,1.403,32.208,9.81,15.711,0.019,c
59883.317462,1.84,1.403,32.208,9.81,15.759,0.02,c
59883.323337,1.84,1.403,32.207,9.81,15.755,0.02,c
59883.334642,1.84,1.403,32.207,9.81,15.774,0.02,c
59883.360943,1.84,1.402,32.206,9.82,15.732,0.027,c
59884.574991,1.839,1.391,32.145,9.9,15.766,0.018,c
59884.579088,1.839,1.391,32.145,9.9,15.764,0.019,c
59884.584511,1.839,1.391,32.144,9.9,15.801,0.019,c
59884.596835,1.839,1.391,32.144,9.9,15.778,0.018,c
59890.512337,1.835,1.335,31.742,10.31,15.328,0.024,o
59890.515519,1.835,1.335,31.742,10.31,15.294,0.023,o
59890.52098,1.835,1.335,31.742,10.31,15.284,0.023,o
59890.547185,1.835,1.334,31.739,10.32,15.268,0.025,o
59890.564152,1.835,1.334,31.738,10.32,15.29,0.018,o
59890.565997,1.835,1.334,31.738,10.32,15.269,0.018,o
59890.569233,1.835,1.334,31.738,10.32,15.277,0.018,o
59890.578476,1.835,1.334,31.737,10.32,15.279,0.018,o
59890.641753,1.835,1.334,31.732,10.32,15.315,0.021,o
59891.554117,1.834,1.325,31.653,10.39,15.266,0.024,o
59891.555966,1.834,1.325,31.653,10.39,15.216,0.024,o
59891.558737,1.834,1.325,31.653,10.39,15.259,0.028,o
59892.443225,1.833,1.317,31.572,10.45,15.26,0.027,o
59892.571229,1.833,1.316,31.56,10.46,15.237,0.021,o
59892.5744,1.833,1.316,31.56,10.46,15.242,0.021,o
59892.579933,1.833,1.316,31.559,10.46,15.253,0.022,o
59892.592001,1.833,1.316,31.558,10.46,15.299,0.022,o
59893.0699,1.833,1.311,31.512,10.5,15.29,0.028,o
59893.086135,1.833,1.311,31.511,10.5,15.279,0.028,o
59893.511145,1.833,1.307,31.469,10.53,15.273,0.024,o
59893.523289,1.833,1.307,31.468,10.53,15.234,0.022,o
59893.542504,1.833,1.307,31.466,10.53,15.275,0.023,o
59893.560672,1.833,1.307,31.464,10.53,15.215,0.021,o
59894.528787,1.832,1.298,31.365,10.61,15.209,0.019,o
59894.530635,1.832,1.298,31.365,10.61,15.208,0.019,o
59894.53433,1.832,1.298,31.364,10.61,15.213,0.019,o
59894.539412,1.832,1.298,31.364,10.61,15.211,0.019,o
59895.524472,1.832,1.289,31.257,10.68,15.206,0.019,o
59895.526783,1.832,1.289,31.257,10.68,15.185,0.019,o
59895.549429,1.832,1.289,31.255,10.68,15.131,0.018,o
59895.567753,1.832,1.289,31.253,10.68,15.216,0.019,o
59899.320927,1.83,1.255,30.793,10.97,15.163,0.021,o
59899.324536,1.83,1.255,30.792,10.97,15.19,0.022,o
59899.329503,1.83,1.255,30.792,10.97,15.18,0.021,o
59899.339986,1.83,1.255,30.79,10.97,15.183,0.022,o
59899.617134,1.83,1.253,30.753,10.99,15.174,0.016,o
59899.622938,1.83,1.253,30.752,10.99,15.218,0.016,o
59899.634575,1.83,1.252,30.75,10.99,15.2,0.016,o
59899.637407,1.83,1.252,30.75,10.99,15.223,0.017,o
59901.017938,1.83,1.24,30.556,11.1,15.159,0.02,o
59901.040226,1.83,1.24,30.553,11.1,15.159,0.022,o
59901.043389,1.83,1.24,30.552,11.1,15.142,0.02,o
59901.059191,1.83,1.24,30.55,11.1,15.181,0.017,o
59903.309773,1.829,1.221,30.206,11.28,15.127,0.018,o
59903.33269,1.829,1.22,30.202,11.28,15.107,0.016,o
59903.336743,1.829,1.22,30.202,11.28,15.132,0.016,o
59903.348273,1.829,1.22,30.2,11.28,15.127,0.017,o
59906.613995,1.829,1.193,29.638,11.54,15.368,0.013,c
59906.639612,1.829,1.193,29.633,11.54,15.395,0.014,c
59906.642419,1.829,1.193,29.633,11.54,15.399,0.015,c
59907.297283,1.829,1.187,29.511,11.59,15.082,0.016,o
59907.300452,1.829,1.187,29.51,11.59,15.046,0.017,o
59907.305887,1.829,1.187,29.509,11.6,15.076,0.019,o
59907.333736,1.829,1.187,29.504,11.6,15.087,0.019,o
59908.557102,1.829,1.177,29.267,11.7,15.099,0.016,o
59908.558911,1.829,1.177,29.267,11.7,15.088,0.016,o
59908.562076,1.829,1.177,29.266,11.7,15.096,0.016,o
59908.567509,1.829,1.177,29.265,11.7,15.099,0.016,o
59910.556246,1.829,1.161,28.857,11.86,15.056,0.016,c
59910.559538,1.829,1.161,28.856,11.86,15.043,0.016,c
59911.314667,1.829,1.155,28.693,11.92,14.806,0.016,o
59911.317554,1.829,1.155,28.692,11.92,14.816,0.014,o
59911.327828,1.829,1.155,28.69,11.92,14.81,0.014,o
59911.338783,1.829,1.155,28.688,11.92,14.815,0.014,o
59915.241504,1.83,1.124,27.773,12.24,14.658,0.016,o
59915.244658,1.83,1.124,27.772,12.24,14.669,0.016,o
59915.251866,1.83,1.124,27.771,12.24,14.593,0.017,o
59915.27402,1.83,1.124,27.765,12.25,14.632,0.014,o
59919.345326,1.832,1.094,26.679,12.58,14.62,0.02,o
59920.965388,1.833,1.082,26.208,12.72,14.624,0.027,o
59920.968554,1.833,1.082,26.207,12.72,14.652,0.027,o
59920.97954,1.833,1.082,26.204,12.72,14.603,0.024,o
59920.984948,1.833,1.082,26.202,12.72,14.611,0.026,o
59923.291878,1.834,1.066,25.493,12.91,14.645,0.024,o
59923.297284,1.834,1.066,25.491,12.91,14.615,0.022,o
59923.299093,1.834,1.066,25.49,12.91,14.581,0.026,o
59923.318805,1.834,1.066,25.484,12.91,14.574,0.022,o
59927.273155,1.837,1.04,24.157,13.23,14.712,0.022,o
59927.301792,1.837,1.04,24.147,13.23,14.636,0.022,o
59927.30373,1.837,1.04,24.146,13.23,14.598,0.024,o
59927.312491,1.837,1.04,24.143,13.23,14.615,0.03,o
59928.452654,1.838,1.033,23.734,13.33,14.617,0.015,o
59928.455422,1.838,1.033,23.733,13.33,14.628,0.015,o
59928.458587,1.838,1.033,23.732,13.33,14.634,0.015,o
59928.475341,1.838,1.033,23.726,13.33,14.65,0.015,o
59931.257297,1.84,1.016,22.677,13.55,14.595,0.014,o
59931.263604,1.84,1.016,22.674,13.55,14.596,0.014,o
59931.275325,1.84,1.016,22.67,13.55,14.622,0.014,o
59931.278492,1.84,1.016,22.668,13.55,14.605,0.014,o
59933.066462,1.842,1.006,21.956,13.69,14.596,0.013,o
59933.071038,1.842,1.006,21.954,13.69,14.598,0.013,o
59933.076136,1.842,1.006,21.952,13.69,14.611,0.015,o
59933.079291,1.842,1.006,21.951,13.69,14.594,0.013,o
59935.238595,1.844,0.994,21.051,13.85,14.857,0.014,c
59935.240397,1.844,0.994,21.05,13.85,14.871,0.014,c
59935.24355,1.845,0.994,21.049,13.85,14.883,0.014,c
59935.266134,1.845,0.994,21.039,13.85,14.864,0.014,c
59939.213862,1.849,0.974,19.284,14.13,14.854,0.014,c
59939.247988,1.849,0.974,19.268,14.13,14.842,0.014,c
59939.250704,1.849,0.974,19.267,14.13,14.811,0.014,c
59940.940929,1.851,0.967,18.473,14.24,14.539,0.013,o
59940.964286,1.851,0.966,18.462,14.24,14.544,0.013,o
59940.96744,1.851,0.966,18.461,14.24,14.544,0.013,o
59940.995873,1.851,0.966,18.447,14.25,14.535,0.012,o
59943.236072,1.855,0.957,17.357,14.38,14.833,0.014,c
59943.237874,1.855,0.957,17.356,14.38,14.838,0.014,c
59943.241478,1.855,0.957,17.354,14.38,14.802,0.014,c
59943.260303,1.855,0.957,17.345,14.39,14.837,0.014,c
59944.972976,1.857,0.95,16.484,14.48,14.305,0.013,o
59944.988445,1.857,0.95,16.476,14.49,14.302,0.013,o
59944.991602,1.857,0.95,16.474,14.49,14.295,0.013,o
59945.006795,1.857,0.95,16.466,14.49,14.303,0.013,o
59947.215568,1.86,0.943,15.322,14.6,14.215,0.015,o
59947.217373,1.86,0.943,15.322,14.6,14.206,0.015,o
59947.225383,1.86,0.943,15.317,14.6,14.246,0.015,o
59947.248564,1.86,0.942,15.305,14.6,14.23,0.018,o
59956.5748,1.877,0.921,10.147,14.95,14.19,0.017,o
59956.577961,1.877,0.921,10.145,14.95,14.231,0.017,o
59956.592005,1.877,0.921,10.137,14.95,14.193,0.017,o
59956.606515,1.877,0.921,10.129,14.95,14.211,0.018,o
59957.026832,1.877,0.92,9.887,14.96,14.193,0.015,o
59957.030002,1.877,0.92,9.886,14.96,14.206,0.015,o
59957.03542,1.877,0.92,9.882,14.96,14.192,0.015,o
59957.045435,1.877,0.92,9.877,14.96,14.238,0.016,o
59957.484286,1.878,0.92,9.625,14.97,14.209,0.013,o
59957.494267,1.878,0.92,9.619,14.97,14.198,0.013,o
59957.5031,1.878,0.92,9.614,14.97,14.225,0.013,o
59957.507015,1.878,0.92,9.612,14.97,14.208,0.013,o
59959.20327,1.882,0.918,8.635,14.99,14.186,0.014,o
59959.205072,1.882,0.918,8.634,14.99,14.194,0.014,o
59959.207776,1.882,0.918,8.633,14.99,14.17,0.014,o
59959.212886,1.882,0.918,8.63,14.99,14.174,0.014,o
59963.20012,1.89,0.917,6.354,15.02,14.15,0.014,o
59963.224633,1.89,0.917,6.341,15.02,14.158,0.015,o
59963.25342,1.89,0.917,6.325,15.02,14.138,0.015,o
59963.261278,1.89,0.917,6.32,15.02,14.153,0.015,o
59964.499842,1.893,0.917,5.636,15.01,14.164,0.013,o
59964.506185,1.893,0.917,5.633,15.01,14.19,0.013,o
59964.523487,1.893,0.917,5.623,15.01,14.183,0.014,o
59964.920695,1.893,0.917,5.409,15.01,14.48,0.013,c
59964.939287,1.894,0.917,5.399,15.01,14.462,0.013,c
59964.941994,1.894,0.917,5.398,15.01,14.475,0.013,c
59964.947408,1.894,0.917,5.395,15.01,14.458,0.013,c
59966.38398,1.897,0.918,4.643,14.99,14.15,0.013,o
59966.385788,1.897,0.918,4.642,14.99,14.158,0.013,o
59966.408701,1.897,0.918,4.63,14.99,14.156,0.013,o
59966.413675,1.897,0.918,4.628,14.99,14.154,0.013,o
59968.47306,1.901,0.921,3.67,14.95,14.141,0.013,o
59968.478558,1.901,0.921,3.668,14.95,14.146,0.013,o
59968.502375,1.901,0.921,3.658,14.95,14.148,0.013,o
59968.505539,1.901,0.921,3.657,14.95,14.142,0.013,o
59968.900981,1.902,0.921,3.5,14.94,14.451,0.013,c
59968.904137,1.902,0.921,3.499,14.94,14.47,0.013,c
59968.907742,1.902,0.921,3.497,14.94,14.446,0.013,c
59968.913604,1.902,0.921,3.495,14.94,14.457,0.013,c
59969.518732,1.904,0.922,3.276,14.92,14.148,0.012,o
59969.524151,1.904,0.922,3.274,14.92,14.134,0.012,o
59971.162798,1.908,0.925,2.864,14.88,14.138,0.014,o
59971.165057,1.908,0.925,2.864,14.88,14.115,0.013,o
59971.168216,1.908,0.925,2.863,14.88,14.12,0.013,o
59971.173624,1.908,0.925,2.862,14.88,14.105,0.031,o
59975.190424,1.918,0.935,3.25,14.72,14.184,0.014,o
59975.1936,1.918,0.935,3.251,14.72,14.201,0.014,o
59975.198763,1.918,0.935,3.253,14.72,14.206,0.014,o
59975.238036,1.918,0.935,3.266,14.71,14.205,0.015,o
59983.238508,1.939,0.967,7.088,14.23,14.523,0.031,o
59983.241663,1.939,0.967,7.09,14.23,14.42,0.031,o
59983.253873,1.939,0.967,7.096,14.23,14.513,0.033,o
59983.261093,1.939,0.967,7.1,14.23,14.454,0.032,o
59985.215431,1.944,0.977,8.136,14.09,14.636,0.023,o
59985.219032,1.944,0.977,8.138,14.09,14.596,0.028,o
59985.22457,1.944,0.977,8.141,14.09,14.634,0.023,o
59985.242328,1.944,0.977,8.151,14.09,14.637,0.025,o
59986.190943,1.947,0.982,8.651,14.01,14.64,0.022,o
59986.194097,1.947,0.982,8.653,14.01,14.635,0.022,o
59986.200856,1.947,0.982,8.656,14.01,14.598,0.022,o
59986.211225,1.947,0.983,8.662,14.01,14.635,0.022,o
59987.901484,1.952,0.992,9.546,13.87,14.715,0.015,o
59987.904642,1.952,0.992,9.548,13.87,14.707,0.015,o
59987.910514,1.952,0.992,9.551,13.87,14.723,0.015,o
59987.922926,1.952,0.992,9.558,13.87,14.696,0.018,o
59989.146309,1.955,1.0,10.189,13.77,14.961,0.018,c
