mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58512.34007,1.204,0.266,30.78,5,13.81,0.03,r
58512.34302,1.204,0.266,30.78,5,13.81,0.03,r
58512.34598,1.204,0.266,30.78,5,13.81,0.03,r
58512.34893,1.204,0.267,30.78,5,13.81,0.03,r
58512.35188,1.204,0.267,30.78,5,13.81,0.02,r
58512.35485,1.204,0.267,30.78,5,13.81,0.03,r
58512.35782,1.204,0.267,30.78,5,13.8,0.02,r
58512.36077,1.204,0.267,30.77,5,13.81,0.03,r
58512.36374,1.204,0.267,30.77,5,13.8,0.03,r
58512.36669,1.204,0.267,30.77,5,13.8,0.02,r
58512.37103,1.204,0.267,30.77,5,13.81,0.03,r
58512.37402,1.204,0.267,30.77,5,13.83,0.03,r
58512.37699,1.204,0.267,30.77,5,13.82,0.03,r
58512.37996,1.204,0.267,30.77,5,13.82,0.03,r
58512.38293,1.204,0.267,30.77,5,13.83,0.03,r
58512.38589,1.204,0.267,30.77,5,13.82,0.03,r
58512.38885,1.204,0.267,30.77,5,13.81,0.03,r
58512.39183,1.204,0.267,30.77,5,13.81,0.03,r
58512.39477,1.204,0.267,30.77,5,13.82,0.03,r
58512.39773,1.204,0.267,30.77,5,13.83,0.03,r
58512.4007,1.204,0.267,30.76,5,13.81,0.03,r
58512.40366,1.204,0.267,30.76,5,13.82,0.03,r
58512.40663,1.204,0.267,30.76,5,13.82,0.03,r
58512.4096,1.204,0.267,30.76,5,13.83,0.03,r
58512.41255,1.204,0.267,30.76,5,13.81,0.03,r
58512.41552,1.204,0.267,30.76,5,13.82,0.03,r
58512.41848,1.204,0.267,30.76,5,13.82,0.03,r
58512.42144,1.204,0.267,30.76,5,13.81,0.03,r
58512.4244,1.204,0.267,30.76,5,13.81,0.03,r
58512.42736,1.204,0.267,30.76,5,13.8,0.03,r
58512.43032,1.204,0.267,30.76,5,13.8,0.03,r
58512.43327,1.204,0.267,30.76,5,13.8,0.03,r
